customer_id,system_loan_id,loan_number,approved_date,creation_date,loan_amount,total_due,term_days,good_bad_flag,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,age,age_category,interest,employment_risk
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,2017-07-25,2017-07-25,30000.0,34500.0,30,Good,Other,3.4320102,6.4330553,Diamond Bank,Permanent,54,"(48, 58]",4500.0,Low Risk
8a85886e54beabf90154c0a29ae757c0,301965204,2,2017-07-05,2017-07-05,15000.0,17250.0,30,Good,Savings,3.885298,7.3207003,GT Bank,Permanent,40,"(38, 48]",2250.0,Low Risk
8a8588f35438fe12015444567666018e,301966580,7,2017-07-06,2017-07-06,20000.0,22250.0,15,Good,Other,11.1393496,10.2920413,EcoBank,Permanent,41,"(38, 48]",2250.0,Low Risk
8a85890754145ace015429211b513e16,301999343,3,2017-07-27,2017-07-27,10000.0,11500.0,15,Good,Savings,3.9857698,7.4917081,First Bank,Permanent,48,"(38, 48]",1500.0,Low Risk
8a858970548359cc0154883481981866,301962360,9,2017-07-03,2017-07-03,40000.0,44000.0,30,Good,Other,7.4579127,9.0765736,GT Bank,Permanent,39,"(38, 48]",4000.0,Low Risk
8a8589f35451855401546b0738c42524,301986516,8,2017-07-19,2017-07-19,30000.0,39000.0,60,Good,Unknown,3.5842222,6.6256812,Unknown,Unknown,40,"(38, 48]",9000.0,Unknown
8a858e095c59b91b015c5e5cea3719bc,301972027,3,2017-07-10,2017-07-10,10000.0,13000.0,30,Good,Savings,3.2594445,6.5570112,GT Bank,Permanent,36,"(18, 38]",3000.0,Low Risk
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,2017-07-24,2017-07-24,30000.0,34500.0,30,Good,Savings,6.1780556,5.4257996,First Bank,Unknown,38,"(18, 38]",4500.0,Unknown
8a858e185b4923b4015b4ae48d28646a,301996687,4,2017-07-26,2017-07-26,10000.0,11500.0,15,Good,Savings,3.3965242,6.6279429,GT Bank,Permanent,38,"(18, 38]",1500.0,Low Risk
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,2017-07-17,2017-07-17,10000.0,11500.0,15,Good,Savings,3.2858723,6.5824439,Access Bank,Unemployed,41,"(38, 48]",1500.0,High Risk
8a858e245c214660015c2ba8187976f7,301962365,2,2017-07-03,2017-07-03,10000.0,13000.0,30,Good,Savings,7.1233193,4.8834997,EcoBank,Permanent,42,"(38, 48]",3000.0,Low Risk
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,2017-07-02,2017-07-02,10000.0,13000.0,30,Bad,Savings,3.8210848,7.3326277,GT Bank,Permanent,37,"(18, 38]",3000.0,Low Risk
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,2017-07-28,2017-07-28,10000.0,11500.0,15,Good,Savings,3.1727935,6.6832653,First Bank,Unknown,60,"(58, 68]",1500.0,Unknown
8a858e4456ced8470156dc8f1f4038d3,301995555,11,2017-07-25,2017-07-25,40000.0,44000.0,30,Good,Other,3.3022556,6.636865,UBA,Permanent,48,"(38, 48]",4000.0,Low Risk
8a858e5357d823010157d932443d28a3,301983540,13,2017-07-18,2017-07-18,40000.0,44000.0,30,Good,Other,3.3526543,6.456209,First Bank,Self-Employed,46,"(38, 48]",4000.0,Medium Risk
8a858e5b5bd99460015bdf725e143ff4,301967889,3,2017-07-07,2017-07-07,10000.0,13000.0,30,Good,Savings,3.70037,7.3943183,Access Bank,Permanent,41,"(38, 48]",3000.0,Low Risk
8a858e645755e62201576b58e3522081,301958834,3,2017-07-01,2017-07-01,10000.0,11500.0,15,Good,Other,3.3718018,6.5169394,UBA,Permanent,44,"(38, 48]",1500.0,Low Risk
8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,2017-07-24,2017-07-24,10000.0,11500.0,15,Bad,Savings,3.3661119,6.5975949,GT Bank,Unknown,43,"(38, 48]",1500.0,Unknown
8a858e705668e16701567f1523211e5a,301985106,15,2017-07-19,2017-07-19,40000.0,44000.0,30,Good,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,49,"(48, 58]",4000.0,Low Risk
8a858e7d595026f8015951c0c4a03fae,301959458,10,2017-07-01,2017-07-01,30000.0,34500.0,30,Good,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,39,"(38, 48]",4500.0,Low Risk
8a858e885c17687c015c19eead6338fd,301964283,3,2017-07-05,2017-07-05,10000.0,13000.0,30,Good,Savings,3.345346,6.5617308,GT Bank,Permanent,47,"(38, 48]",3000.0,Low Risk
